,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
323,mehamn,0,NO,1603730361,80,71.04,27.85,1.0,9.8
324,abu kamal,0,SY,1603730361,21,34.45,40.92,22.75,2.61
325,zlobin,40,HR,1603730361,82,45.29,14.65,17.78,6.7
326,siquinala,75,GT,1603730362,74,14.31,-90.97,31.0,5.1
327,mogadishu,30,SO,1603729794,82,2.04,45.34,27.19,4.05
328,owosso,90,US,1603730362,81,43.0,-84.18,6.11,3.6
329,kenai,90,US,1603729824,100,60.55,-151.26,5.56,6.7
330,antalaha,2,MG,1603730363,79,-14.9,50.28,22.5,3.32
331,monrovia,78,LR,1603730338,77,6.3,-10.8,27.78,4.69
332,port macquarie,54,AU,1603729607,84,-31.43,152.92,14.44,0.89
333,norsup,40,VU,1603730364,83,-16.07,167.38,26.0,4.6
334,anadyr,75,RU,1603729765,92,64.75,177.48,-8.0,2.0
335,hambantota,40,LK,1603729785,88,6.12,81.12,27.0,2.1
336,college,90,US,1603729841,92,64.86,-147.8,-1.0,4.1
337,sao filipe,100,CV,1603729809,68,14.9,-24.5,28.21,5.44
338,derzhavinsk,91,KZ,1603730365,72,51.1,66.32,5.29,10.5
339,richards bay,98,ZA,1603729778,80,-28.78,32.04,21.55,6.11
340,namibe,90,AO,1603730365,69,-15.2,12.15,25.0,5.7
341,ipu,4,BR,1603730365,23,-4.32,-40.71,38.31,1.62
342,aldine,100,US,1603730078,79,29.93,-95.38,25.56,3.13
343,goulburn,81,AU,1603730366,93,-34.75,149.72,8.33,5.26
344,high prairie,100,CA,1603730366,91,55.43,-116.49,-2.85,3.09
345,hamilton,90,US,1603729642,81,39.18,-84.53,11.0,1.5
346,cayenne,14,GF,1603729875,59,4.93,-52.33,32.0,6.2
347,nevelsk,81,RU,1603730367,100,46.67,141.86,-1.0,3.35
348,doume,10,CM,1603730367,79,4.23,13.45,23.98,1.51
349,livingston,40,GB,1603730367,81,55.9,-3.52,11.0,5.7
350,zaozerne,77,UA,1603730368,64,45.16,33.28,19.23,6.15
351,havelock,99,US,1603730368,92,34.88,-76.9,19.44,0.45
352,waipawa,100,NZ,1603729885,100,-41.41,175.52,13.33,5.7
